"","reservoir","parameter","N_int","N_cont","prev_int","prev_control","result_PR","result_PR_adj"
"1","Human","Direct effect",1316,1611,"0.215","0.285","0.75 (0.66, 0.86)","0.84 (0.71, 1.00)"
"2","Human","Spillover effect",198,182,"0.227","0.225","1.01 (0.69, 1.46)","1.32 (0.73, 2.41)"
"3","Human","Total effect",1514,1793,"0.217","0.279","0.78 (0.69, 0.88)","0.85 (0.73, 0.99)"
"4","Mosquito","Direct effect",1475,1452,"0.241","0.267","0.90 (0.80, 1.02)","0.90 (0.79, 1.04)"
"5","Mosquito","Spillover effect",133,247,"0.188","0.247","0.76 (0.50, 1.15)","NA (NA, NA)"
"6","Mosquito","Total effect",1608,1699,"0.236","0.264","0.90 (0.80, 1.01)","0.88 (0.77, 1.01)"
"7","Human & mosquito","Direct effect",634,770,"0.194","0.295","0.66 (0.54, 0.80)","NA (NA, NA)"
"8","Human & mosquito","Spillover effect",81,130,"0.136","0.208","0.66 (0.55, 0.80)","NA (NA, NA)"
"9","Human & mosquito","Total effect",715,900,"0.187","0.282","0.65 (0.34, 1.25)","NA (NA, NA)"
