"","reservoir","parameter","N_int","N_cont","prev_int","prev_control","result_PR","result_PR_adj"
"1","Human","Direct effect",456,506,"0.013","0.016","0.83 (0.29, 2.38)","NA (NA, NA)"
"2","Human","Spillover effect",72,69,"0.014","0.000","NA (NA, NA)","NA (NA, NA)"
"3","Human","Total effect",528,575,"0.013","0.014","0.95 (0.35, 2.61)","NA (NA, NA)"
"4","Mosquito","Direct effect",481,481,"0.015","0.015","1.00 (0.35, 2.83)","NA (NA, NA)"
"5","Mosquito","Spillover effect",65,76,"0.015","0.000","NA (NA, NA)","NA (NA, NA)"
"6","Mosquito","Total effect",546,557,"0.015","0.013","1.17 (0.43, 3.19)","NA (NA, NA)"
"7","Human & mosquito","Direct effect",219,244,"0.005","0.008","0.56 (0.05, 6.12)","NA (NA, NA)"
"8","Human & mosquito","Spillover effect",36,40,"0.028","0.000","NA (NA, NA)","NA (NA, NA)"
"9","Human & mosquito","Total effect",255,284,"0.008","0.007","1.11 (0.16, 7.86)","NA (NA, NA)"
