"","reservoir","parameter","N_int","N_cont","prev_int","prev_control","result_PR","result_PR_adj"
"1","Human","Direct effect",1646,1939,"0.029","0.035","0.84 (0.59, 1.22)","0.92 (0.63, 1.34)"
"2","Human","Spillover effect",266,235,"0.030","0.013","2.36 (0.63, 8.79)","NA (NA, NA)"
"3","Human","Total effect",1912,2174,"0.029","0.032","0.91 (0.64, 1.29)","0.92 (0.65, 1.32)"
"4","Mosquito","Direct effect",1822,1763,"0.030","0.035","0.86 (0.60, 1.23)","1.08 (0.72, 1.63)"
"5","Mosquito","Spillover effect",212,289,"0.028","0.017","1.64 (0.51, 5.30)","NA (NA, NA)"
"6","Mosquito","Total effect",2034,2052,"0.029","0.032","0.92 (0.65, 1.29)","0.92 (0.62, 1.36)"
"7","Human & mosquito","Direct effect",814,931,"0.020","0.031","0.63 (0.35, 1.15)","NA (NA, NA)"
"8","Human & mosquito","Spillover effect",133,156,"0.030","0.006","4.69 (0.53, 41.62)","NA (NA, NA)"
"9","Human & mosquito","Total effect",947,1087,"0.021","0.028","0.77 (0.44, 1.34)","NA (NA, NA)"
