"","reservoir","parameter","N_int","N_cont","prev_int","prev_control","result_PR","result_PR_adj"
"1","Human","Direct effect",1537,1835,"0.029","0.033","0.90 (0.61, 1.31)","0.84 (0.53, 1.32)"
"2","Human","Spillover effect",244,229,"0.025","0.087","0.28 (0.12, 0.69)","NA (NA, NA)"
"3","Human","Total effect",1781,2064,"0.029","0.039","0.74 (0.52, 1.04)","0.78 (0.51, 1.19)"
"4","Mosquito","Direct effect",1710,1662,"0.026","0.037","0.70 (0.48, 1.03)","0.78 (0.51, 1.21)"
"5","Mosquito","Spillover effect",195,278,"0.051","0.058","0.89 (0.41, 1.92)","NA (NA, NA)"
"6","Mosquito","Total effect",1905,1940,"0.028","0.040","0.71 (0.51, 1.01)","0.64 (0.43, 0.96)"
"7","Human & mosquito","Direct effect",758,883,"0.017","0.033","0.52 (0.27, 1.00)","NA (NA, NA)"
"8","Human & mosquito","Spillover effect",118,152,"0.017","0.079","0.21 (0.05, 0.94)","NA (NA, NA)"
"9","Human & mosquito","Total effect",876,1035,"0.017","0.040","0.43 (0.24, 0.78)","NA (NA, NA)"
