"","reservoir","parameter","N_int","N_cont","prev_int","prev_control","result_PR","result_PR_adj"
"1","Human","Direct effect",456,506,"0.018","0.018","0.99 (0.38, 2.54)","NA (NA, NA)"
"2","Human","Spillover effect",72,69,"0.000","0.043","0.00 (0.00, 0.00)","NA (NA, NA)"
"3","Human","Total effect",528,575,"0.015","0.021","0.73 (0.30, 1.76)","NA (NA, NA)"
"4","Mosquito","Direct effect",481,481,"0.012","0.023","0.55 (0.20, 1.46)","NA (NA, NA)"
"5","Mosquito","Spillover effect",65,76,"0.015","0.026","0.58 (0.05, 6.35)","NA (NA, NA)"
"6","Mosquito","Total effect",546,557,"0.013","0.023","0.55 (0.22, 1.37)","NA (NA, NA)"
"7","Human & mosquito","Direct effect",219,244,"0.005","0.016","0.28 (0.03, 2.48)","NA (NA, NA)"
"8","Human & mosquito","Spillover effect",36,40,"0.000","0.050","0.00 (0.00, 0.00)","NA (NA, NA)"
"9","Human & mosquito","Total effect",255,284,"0.004","0.021","0.19 (0.02, 1.53)","NA (NA, NA)"
